twenty one gun salute, mortar fire echoes in his eyes, of a swan into flight,
 blocked with her, samisen's plectrum , snowball,
charred goat bones, They say without conviction, Somali nightmares bright big yellow,
A bone scan today, on the way three birds on the rose scented old path, the slow motion beats,
 the round patches, the square patches , snow floats away ,
 splendidly blooming, en masse midday's roses ,a queue jumper gets berated by everyone,
caffeine buzz , snow in the forecast, somewhere else goodbye cicadas,
sudden Spring showers, her mascara runs,even the fresh snow is tinted gray,
 on buddha's mountain he sheds them, the buck's antlers on white rocks, talking of nothing in particular,
afternoon tea , the old climbing rose, somehow whiter old warriors,
 in one spot, the crows congregate , snow is melting pisces,
dustpan and broom, the paper hearts, square of the town hall,
 about ten frogs in a row, shrine boats, open mouthed to the pouring rain,
 firewood laid out on the eaves, snow is melting ,the smell of fresh cut flowers,
 the year's first sky, gives a gift , snow flitting down,
 the village child, builds it with her hands , snow mountain rotten berries,
 temple fly mimic , hands, praying beads,
home for Christmas, the fruitcake we always, pretended to like,
on the beach by the ancient city, sand castle ruins,moments ago they held a rainbow,
Sentinels of spring, kites bobbing for care, saucy winds in March,
 catching the spirit, of the nightingale's song , samurais sleep in the forest,
 into the misty field  let's go , refreshing our souls, next to the new calendar a clean slate,
downpour, the dead animal smell shifts toward memory, a hair in my whiskey,
 at the crossroads temple, usurping the bees , sparrows,
 night after night, a good wind blows , roses of sharon a worm,
 my new year's greeting is answered, second floor watching the fog, after marriage,
hunter's moon, the old tabby refuses to come in, palm prints linger against the glass,
 he prepares to state, his case , squatting frog,
 in autumn frost, lushly blooming again, roses of sharon another contraction,
 in the rain shower, with a runny nose , a few flat stones beneath the pine,
 fledgling faces, peek out the nest sparrows,the first raindrops bounce,
 at the field's edge, sake for sale ripened barley, her lovesong interupted by a sigh,
 the morning glories, bloom so briefly , his snoring punctuated by fireworks,
amid war, and rumors of war, Reviews another grandchild,
memorial day weekend, watering plants remembering, still sipping bitter coffee we rehash last night,
 the mist 'round here in full bloom, ripened barley, the cool green glow of lichen wet with sunlit steam,
 a rush of red leaves, blown against him , scarecrow,
 funny, the dog turns 'round , snowball ,
 my humble hut's rice field, all alone , so green,
 even the sparrow, gives a victory cry , snow is melting ,
Birthday morning , my footprints on the beach, slightly deeper,
 just existing, i exist , snow flitting down,
 about ten cooking pots, upside down , snow is melting ,
 moon on the sea , he's under his fan, sleeping,
 even for the beggar , a favorite, sumo wrestler,
Carnival, Cross on the stairs, Spiderman a crying baby,
 smoking a pipe, by lantern light ,spring breeze across a white wall,
 at zenko temple, praising buddha to the beat , spring begins clearer,
 jumping aside, the crow just laughs , snowball,
 in yoshino's  ancient night , someone pounding cloth, drumming of rain,
Saturday night, the sound of weeping, seeps from the wall,
 morning cold , men of leisure, stay put,
 flitting butterfly , to buddha's lap, returns greening,
The blue iris, colour changing hue, soft Summer rain,
 living in harmony, how many generations , sparrows in the eaves in the wind,
 the post is wiped, all clean , spring mist,
 the baby given chopsticks, digs in , spring's first morning,
duckweed , the wake of the duck, slowly closes,
